Latitude,Longitude,Depth,band_1_561,band_2_676,band_3_805
16.000297,73.411892,XX,0.0130865,0.0138566,0.0263225
15.896755,73.472102,XX,0.0208028,0.0157849,0.029587
16.000304,73.412873,XX,0.0130865,0.0157849,0.0263225
15.903367,73.487041,XX,0.0223461,0.0177132,0.0328515
16.004141,73.436949,XX,0.016173,0.0177132,0.0263225
16.003522,73.482926,XX,0.0208028,0.0177132,0.0328515
15.955715,73.489732,XX,0.0223461,0.0196415,0.036116
15.974388,73.484827,XX,0.0238894,0.0234982,0.0328515
16.005513,73.439181,XX,0.0192596,0.0177132,0.029587
15.930503,73.433177,XX,0.0146298,0.0157849,0.029587
16.007304,73.462013,XX,0.0208028,0.0177132,0.029587
16.0253,73.419964,XX,0.016173,0.0157849,0.0263225
15.898611,73.409891,XX,0.0146298,0.0157849,0.0263225
16.005742,73.433433,XX,0.016173,0.0157849,0.0263225
15.960947,73.481986,XX,0.0223461,0.0196415,0.0328515
16.008172,73.432013,XX,0.016173,0.0177132,0.0263225
16.018538,73.440762,XX,0.0208028,0.0196415,0.029587
16.023477,73.467637,XX,0.0223461,0.0196415,0.0328515
15.941748,73.43225,XX,0.0130865,0.0138566,0.023058
16.016396,73.444423,XX,0.0208028,0.0196415,0.029587
15.930721,73.463579,XX,0.0254326,0.0196415,0.036116
15.990044,73.455979,XX,0.0208028,0.0177132,0.029587
16.023233,73.415495,XX,0.0177163,0.0177132,0.023058
15.954007,73.478255,XX,0.0177163,0.0177132,0.029587
15.955491,73.477262,XX,0.0177163,0.0157849,0.029587
15.981924,73.457863,XX,0.0177163,0.0177132,0.0328515
16.023146,73.478292,XX,0.0208028,0.0177132,0.0393805
16.034072,73.47064,XX,0.016173,0.0177132,0.0328515
16.007642,73.471402,XX,0.0223461,0.0234982,0.0328515
16.027802,73.446998,XX,0.0192596,0.0196415,0.029587
16.013692,73.48341,XX,0.0208028,0.0215698,0.0328515
15.951834,73.458654,XX,0.0146298,0.0177132,0.029587
16.027278,73.468449,XX,0.0192596,0.0196415,0.029587
16.00868,73.464806,XX,0.0223461,0.0196415,0.029587
16.032686,73.428877,XX,0.016173,0.0177132,0.0263225
16.007357,73.488503,XX,0.0300624,0.0254265,0.036116
16.009635,73.446858,XX,0.0238894,0.0215698,0.029587
15.885115,73.455661,XX,0.0192596,0.0177132,0.0263225
15.992381,73.460446,XX,0.0223461,0.0196415,0.0328515
15.981837,73.464591,XX,0.0223461,0.0177132,0.0263225
16.004791,73.470722,XX,0.0192596,0.0196415,0.029587
