Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
15.449365,73.763596,XX,0.031202,0.034564,0.03541,0.018103,0.008609
15.443919,73.759712,XX,0.031523,0.034473,0.034903,0.017851,0.008865
15.449893,73.761078,XX,0.029822,0.034018,0.03544,0.017823,0.008788
15.443151,73.767822,XX,0.031427,0.034413,0.035798,0.0188,0.009148
15.453248,73.779228,XX,0.027862,0.031834,0.032516,0.017628,0.009199
15.45218,73.78231,XX,0.028151,0.031531,0.032366,0.01774,0.00943
15.453274,73.783981,XX,0.030817,0.034625,0.036455,0.019833,0.009815
15.45217,73.780632,XX,0.028216,0.03147,0.031411,0.017516,0.008968
15.451869,73.77504,XX,0.030817,0.034413,0.035201,0.019303,0.009764
15.453187,73.768326,XX,0.0304,0.034443,0.03556,0.019247,0.010354
15.450791,73.776451,XX,0.031235,0.034049,0.035082,0.018493,0.00943
15.451228,73.757431,XX,0.030239,0.033381,0.036842,0.018298,0.009635
15.44717,73.759132,XX,0.030464,0.034291,0.035918,0.018047,0.008711
15.4518,73.762741,XX,0.030528,0.034413,0.035888,0.01813,0.008455
15.447728,73.761925,XX,0.030946,0.03417,0.035589,0.01813,0.009071
15.447743,73.764725,XX,0.029918,0.034261,0.0355,0.017712,0.00866
15.445022,73.762779,XX,0.031299,0.034716,0.035022,0.017907,0.008942
15.442582,73.763077,XX,0.031138,0.034413,0.035231,0.018214,0.008994
15.442595,73.765312,XX,0.030689,0.033958,0.034843,0.017851,0.008532
15.431073,73.790543,XX,0.028248,0.030317,0.030067,0.016428,0.009456
15.421486,73.772987,XX,0.032679,0.036837,0.039318,0.020195,0.009404
15.419869,73.774948,XX,0.033192,0.037625,0.040242,0.021563,0.008917
15.428016,73.776863,XX,0.031235,0.034322,0.034724,0.018382,0.008968
15.447934,73.799393,XX,0.030817,0.033897,0.038334,0.021842,0.011098
15.447945,73.801346,XX,0.031202,0.034655,0.039437,0.023069,0.011689
15.44875,73.799667,XX,0.030207,0.033776,0.037886,0.022372,0.011098
15.433788,73.791084,XX,0.028665,0.030803,0.030485,0.017182,0.008968
15.450655,73.801056,XX,0.031459,0.033139,0.036305,0.023013,0.01251
15.451999,73.798805,XX,0.030849,0.03417,0.0372,0.020809,0.012048
15.451735,73.800209,XX,0.030464,0.032714,0.035709,0.022148,0.012715
15.450119,73.802177,XX,0.03162,0.034958,0.040421,0.023571,0.012715
15.410551,73.757118,XX,0.034378,0.03814,0.039437,0.020335,0.009404
15.428941,73.797264,XX,0.030143,0.032654,0.033441,0.018577,0.0102
15.425137,73.795891,XX,0.031652,0.034443,0.036126,0.019916,0.010303
15.4265,73.797279,XX,0.03101,0.035413,0.037409,0.020391,0.010508
15.447876,73.788765,XX,0.030271,0.032471,0.034694,0.018856,0.009507
15.426265,73.803986,XX,0.03348,0.037534,0.041702,0.022399,0.011098
15.441364,73.787964,XX,0.028665,0.03062,0.032336,0.018186,0.009507
15.426761,73.795319,XX,0.031876,0.034655,0.036276,0.019637,0.010559
15.446251,73.789055,XX,0.029308,0.031227,0.033083,0.018298,0.009815
15.433635,73.812889,XX,0.033545,0.038776,0.047333,0.026081,0.010662
15.422668,73.790871,XX,0.035821,0.04138,0.048077,0.026081,0.010611
15.43987,73.812576,XX,0.033384,0.037867,0.046797,0.025663,0.01115
15.446921,73.81282,XX,0.030143,0.0342,0.041971,0.022929,0.011663
15.455331,73.813332,XX,0.035885,0.041955,0.056883,0.039317,0.01482
15.452418,73.826485,XX,0.029276,0.032805,0.040182,0.024073,0.014384
15.453699,73.8125,XX,0.030657,0.035383,0.041673,0.023738,0.013562
15.449641,73.814201,XX,0.030849,0.034776,0.041822,0.023766,0.012151
15.451076,73.82901,XX,0.030881,0.03508,0.042835,0.025356,0.013999
15.44997,73.825104,XX,0.029501,0.032805,0.040898,0.023878,0.012869
15.451865,73.824532,XX,0.029693,0.033109,0.040093,0.023487,0.013742
15.449444,73.828178,XX,0.030689,0.034685,0.042448,0.025021,0.012998
15.450768,73.822304,XX,0.029115,0.033321,0.040928,0.023125,0.012818
15.447493,73.818123,XX,0.030175,0.03417,0.041017,0.02385,0.012407
15.449382,73.816437,XX,0.030175,0.033958,0.041255,0.023069,0.012048
15.451065,73.827049,XX,0.030271,0.033867,0.040987,0.024603,0.01346
15.448319,73.820641,XX,0.031395,0.034443,0.041792,0.024045,0.012022
15.449144,73.822868,XX,0.029822,0.03414,0.041702,0.023655,0.012125
15.444215,73.813667,XX,0.031074,0.035201,0.042597,0.023097,0.011278
15.445868,73.818695,XX,0.032229,0.035777,0.044861,0.025551,0.012074
15.444236,73.817581,XX,0.032999,0.03714,0.046559,0.026862,0.011509
15.439888,73.815933,XX,0.03316,0.037474,0.046856,0.026248,0.011201
15.449666,73.818954,XX,0.030047,0.033958,0.041553,0.023599,0.012125
15.445097,73.82653,XX,0.030625,0.03514,0.043699,0.02491,0.012074
15.445084,73.824013,XX,0.031684,0.035504,0.044146,0.025467,0.012305
15.44341,73.815353,XX,0.033224,0.036989,0.04775,0.027364,0.010867
15.440442,73.818169,XX,0.032679,0.036989,0.046231,0.026276,0.011073
15.447749,73.815331,XX,0.029469,0.033169,0.040391,0.022344,0.012228
15.44313,73.813675,XX,0.032743,0.03711,0.045486,0.025886,0.011663
15.443206,73.827934,XX,0.030528,0.034413,0.04349,0.024826,0.01156
15.451844,73.820618,XX,0.030817,0.033533,0.041017,0.023041,0.013306
15.450731,73.815308,XX,0.030914,0.033836,0.039884,0.023097,0.012792
15.448622,73.826508,XX,0.030175,0.034352,0.041524,0.024547,0.012972
15.446399,73.816452,XX,0.030817,0.03417,0.041375,0.022706,0.01192
15.453475,73.821167,XX,0.031459,0.03517,0.045695,0.026778,0.014589
15.449949,73.82119,XX,0.030304,0.034261,0.041553,0.023655,0.012613
15.405159,73.812492,XX,0.035564,0.042197,0.051827,0.029454,0.015384
15.401347,73.809723,XX,0.034378,0.040078,0.047273,0.028897,0.020183
