Latitude,Longitude,Depth,rhos_443,rhos_483,rhos_561,rhos_655,rhos_865
16.00023,73.41182,XX,0.04459,0.04604,0.04048,0.02731,0.0179
15.89682,73.47203,XX,0.0403,0.04235,0.03744,0.02234,0.01318
16.00024,73.41294,XX,0.04481,0.0457,0.04015,0.02619,0.0179
15.90344,73.48711,XX,0.03768,0.03856,0.03249,0.02112,0.01307
16.00421,73.43702,XX,0.04395,0.04453,0.04301,0.02728,0.01646
16.00345,73.48299,XX,0.03848,0.0409,0.04021,0.02561,0.01854
15.95578,73.4898,XX,0.04187,0.04625,0.04721,0.02711,0.01513
15.97446,73.48489,XX,0.03989,0.04214,0.04221,0.02491,0.01623
16.00558,73.43925,XX,0.04331,0.04447,0.04304,0.02711,0.01633
15.93043,73.43311,XX,0.04222,0.04356,0.0383,0.02393,0.01382
16.00737,73.46195,XX,0.04273,0.04564,0.04849,0.02926,0.01767
16.02523,73.42004,XX,0.04622,0.04706,0.04307,0.02792,0.01857
15.89854,73.40982,XX,0.03752,0.03729,0.0315,0.02162,0.01374
16.00581,73.43337,XX,0.0443,0.04543,0.04194,0.0265,0.01721
15.96088,73.48192,XX,0.03745,0.04047,0.03732,0.02326,0.01464
16.00824,73.43194,XX,0.04353,0.0458,0.04197,0.02669,0.01692
16.01861,73.44083,XX,0.04328,0.04495,0.04379,0.02742,0.01733
16.02341,73.46771,XX,0.04177,0.04313,0.04328,0.02817,0.01913
15.94181,73.43218,XX,0.04206,0.0435,0.0395,0.02441,0.01467
16.01646,73.4445,XX,0.04341,0.04443,0.04468,0.02781,0.0168
15.93065,73.46365,XX,0.04277,0.0445,0.04263,0.02541,0.01503
15.98998,73.45591,XX,0.04267,0.04437,0.04146,0.02485,0.01536
16.0233,73.41557,XX,0.04452,0.04592,0.04117,0.0265,0.01718
15.95408,73.47833,XX,0.03925,0.04059,0.03738,0.02268,0.01397
15.95542,73.4772,XX,0.03877,0.03975,0.03631,0.0231,0.01408
15.98186,73.45793,XX,0.04181,0.04368,0.0417,0.02524,0.01554
16.02321,73.47836,XX,0.03992,0.04141,0.04191,0.02742,0.01964
16.034,73.47071,XX,0.04046,0.04208,0.0434,0.02845,0.02008
16.00771,73.47147,XX,0.04168,0.04323,0.04432,0.02842,0.01808
16.02787,73.44693,XX,0.04309,0.04453,0.04498,0.02879,0.0179
16.01376,73.48348,XX,0.04014,0.04186,0.0423,0.02706,0.01941
15.95177,73.45873,XX,0.03954,0.0405,0.03666,0.02332,0.01426
16.02721,73.46852,XX,0.04165,0.04338,0.04388,0.02826,0.01893
16.00875,73.46474,XX,0.04302,0.04498,0.04695,0.02918,0.01767
16.03262,73.42895,XX,0.04618,0.04882,0.04763,0.0292,0.01813
16.00729,73.48857,XX,0.04478,0.04836,0.05569,0.03469,0.02105
16.0097,73.44679,XX,0.04305,0.04456,0.04578,0.02809,0.01613
15.88505,73.45559,XX,0.03902,0.04059,0.03768,0.0236,0.01485
15.99245,73.46037,XX,0.04229,0.04419,0.04221,0.02616,0.01608
15.98191,73.46466,XX,0.04293,0.04443,0.04275,0.02544,0.016
16.00472,73.47065,XX,0.04146,0.04335,0.04534,0.02809,0.01759
16.01557,73.47085,XX,0.03973,0.04083,0.04021,0.02656,0.01757
16.00771,73.47091,XX,0.04286,0.04374,0.04507,0.02895,0.01798
16.00812,73.45241,XX,0.04241,0.04338,0.04537,0.02809,0.01613
16.0211,73.48623,XX,0.04487,0.04915,0.05721,0.03701,0.0239
16.01984,73.46156,XX,0.04309,0.04498,0.04424,0.02837,0.01831
15.90788,73.50165,XX,0.04126,0.04335,0.04057,0.02338,0.01328
16.02392,73.4635,XX,0.04136,0.04277,0.04164,0.02742,0.01803
15.97564,73.46022,XX,0.03973,0.04156,0.03872,0.02399,0.01426
15.93211,73.47821,XX,0.04056,0.04144,0.04018,0.0243,0.01384
15.96603,73.48188,XX,0.03797,0.03911,0.03684,0.02307,0.01495
16.01658,73.42347,XX,0.04548,0.04694,0.044,0.02739,0.01672
16.02526,73.46153,XX,0.04229,0.04395,0.04492,0.02912,0.01841
15.99978,73.46256,XX,0.04449,0.04743,0.05064,0.03035,0.01639
16.00959,73.46922,XX,0.04037,0.04208,0.04185,0.02739,0.01782
16.00108,73.45387,XX,0.04347,0.04549,0.04692,0.028,0.01585
15.94817,73.4865,XX,0.04046,0.04205,0.0426,0.02488,0.01405
16.01581,73.46636,XX,0.03947,0.04068,0.0414,0.02639,0.01677
16.00972,73.48688,XX,0.04117,0.04386,0.04441,0.0265,0.01936
16.00556,73.47373,XX,0.04085,0.04202,0.04209,0.027,0.01736
16.01728,73.44421,XX,0.04299,0.04428,0.04382,0.0275,0.01731
16.00279,73.42834,XX,0.04408,0.04549,0.03991,0.02614,0.01728
16.0105,73.4451,XX,0.04299,0.04437,0.04447,0.02767,0.01639
15.92163,73.45223,XX,0.04091,0.04368,0.04275,0.02491,0.01382
15.98618,73.4551,XX,0.04209,0.04347,0.04018,0.0253,0.01585
15.97798,73.44647,XX,0.04385,0.04628,0.04781,0.02725,0.01531
16.02541,73.44386,XX,0.04289,0.04489,0.04352,0.02812,0.0178
16.01768,73.46271,XX,0.04261,0.04555,0.0468,0.02959,0.01775
15.93266,73.44038,XX,0.04222,0.04359,0.03914,0.02402,0.0139
16.01357,73.41956,XX,0.04545,0.04664,0.04352,0.02639,0.01649
16.03188,73.43961,XX,0.04334,0.04471,0.04385,0.02879,0.01821
16.00898,73.45969,XX,0.0436,0.04528,0.04665,0.02879,0.01682
15.95286,73.49851,XX,0.04104,0.04377,0.04346,0.02644,0.01739
15.88927,73.47769,XX,0.03736,0.03769,0.03114,0.02095,0.01313
