Latitude,Longitude,Depth,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865
15.449439,73.763458,XX,0.048216,0.048766,0.04952,0.031751,0.026942,0.024596,0.02398,0.022996,0.020859
15.443812,73.759666,XX,0.048347,0.050845,0.046736,0.029396,0.025488,0.023167,0.022593,0.019998,0.020546
15.449878,73.761124,XX,0.047564,0.047665,0.047462,0.031864,0.026718,0.024267,0.024087,0.021108,0.020337
15.443225,73.767776,XX,0.050303,0.051456,0.051577,0.030181,0.026495,0.024926,0.02334,0.020109,0.019189
15.453234,73.779274,XX,0.050954,0.054876,0.059312,0.037133,0.031637,0.027125,0.026541,0.023884,0.022739
15.452166,73.782356,XX,0.051085,0.054266,0.059553,0.037469,0.032755,0.028224,0.027288,0.022996,0.024827
15.453169,73.783936,XX,0.051997,0.054632,0.061606,0.038478,0.032643,0.028993,0.027822,0.026103,0.024931
15.452156,73.780586,XX,0.051345,0.055365,0.058829,0.037806,0.032643,0.027784,0.025901,0.024661,0.023052
15.451763,73.774902,XX,0.050172,0.052556,0.056533,0.035452,0.030072,0.027015,0.026328,0.023773,0.022426
15.453083,73.768372,XX,0.048738,0.0495,0.049762,0.029732,0.027166,0.024047,0.023767,0.020553,0.02159
15.450958,73.776588,XX,0.050694,0.052067,0.055688,0.035228,0.029737,0.026135,0.025048,0.022885,0.022008
15.451123,73.757477,XX,0.046912,0.04742,0.046978,0.030405,0.025935,0.023717,0.02302,0.02133,0.020964
15.447245,73.759087,XX,0.047955,0.046196,0.044919,0.030966,0.026495,0.025476,0.022379,0.020997,0.020755
15.451695,73.762787,XX,0.047564,0.048644,0.048188,0.02962,0.027389,0.025366,0.023767,0.019221,0.019815
15.447713,73.761971,XX,0.048216,0.0495,0.047341,0.029732,0.02683,0.025036,0.023447,0.021108,0.020546
15.447819,73.764679,XX,0.048869,0.047053,0.047099,0.030405,0.026942,0.024816,0.023874,0.020886,0.01992
15.445005,73.762825,XX,0.047695,0.046686,0.046614,0.029171,0.026718,0.024267,0.023767,0.020442,0.020546
15.442657,73.763214,XX,0.048999,0.048888,0.048067,0.030742,0.02683,0.023607,0.022593,0.019332,0.018771
15.442669,73.765358,XX,0.04939,0.050233,0.051335,0.030854,0.026383,0.023937,0.022059,0.019776,0.019606
15.431054,73.790405,XX,0.051215,0.05451,0.062813,0.039374,0.033872,0.026795,0.024087,0.022663,0.021382
15.421465,73.772942,XX,0.050433,0.052678,0.053995,0.032985,0.027389,0.024047,0.023233,0.020664,0.019189
15.419849,73.775002,XX,0.048738,0.050967,0.050972,0.031527,0.026718,0.024047,0.022379,0.019554,0.017831
15.427997,73.777,XX,0.050042,0.051578,0.052181,0.033322,0.028731,0.024377,0.02366,0.020442,0.017831
15.448009,73.799347,XX,0.051215,0.05512,0.06414,0.041951,0.036553,0.029762,0.030169,0.028655,0.026392
15.44802,73.801392,XX,0.051345,0.055365,0.064381,0.043519,0.035436,0.030751,0.031022,0.029432,0.027645
15.448824,73.799522,XX,0.051345,0.055609,0.064381,0.041951,0.03633,0.030861,0.029955,0.027213,0.025766
15.43386,73.791039,XX,0.051997,0.054144,0.065467,0.041391,0.034431,0.026355,0.025581,0.023107,0.020651
15.450641,73.801193,XX,0.051476,0.052556,0.057621,0.04587,0.043363,0.037669,0.040828,0.044176,0.034217
15.451984,73.798851,XX,0.050433,0.05451,0.060882,0.041167,0.037335,0.032179,0.033474,0.030319,0.029419
15.451812,73.800346,XX,0.049912,0.0506,0.060157,0.043967,0.040126,0.033167,0.033048,0.031651,0.030253
15.450194,73.802315,XX,0.051476,0.055487,0.068361,0.04643,0.041577,0.033936,0.03518,0.031761,0.030462
15.410709,73.757164,XX,0.049912,0.050845,0.048794,0.029283,0.025264,0.021848,0.021098,0.018332,0.017413
15.428922,73.79731,XX,0.051866,0.054754,0.067517,0.043071,0.034878,0.025916,0.025368,0.021663,0.02159
15.425026,73.795746,XX,0.051866,0.053411,0.064502,0.03803,0.032084,0.025806,0.024941,0.023107,0.021486
15.426572,73.797417,XX,0.051215,0.055731,0.064623,0.041615,0.033872,0.027125,0.025368,0.022663,0.024096
15.447861,73.788719,XX,0.050303,0.054632,0.061847,0.039599,0.033649,0.027674,0.027182,0.025105,0.022948
15.426247,73.804131,XX,0.053038,0.056341,0.069566,0.048444,0.03901,0.028443,0.027608,0.02455,0.02253
15.441257,73.787918,XX,0.049651,0.052311,0.059916,0.036797,0.030296,0.025916,0.025261,0.021997,0.021382
15.426742,73.795364,XX,0.051215,0.054998,0.063778,0.038926,0.032755,0.025586,0.02366,0.022219,0.021486
15.446236,73.789101,XX,0.050042,0.053777,0.061485,0.038814,0.033537,0.027894,0.027502,0.023884,0.023574
15.433617,73.812843,XX,0.052518,0.057195,0.071614,0.048892,0.041131,0.027674,0.027608,0.02455,0.022008
15.422649,73.791008,XX,0.051085,0.054266,0.061244,0.037694,0.031078,0.026245,0.025795,0.022885,0.022426
15.439854,73.812714,XX,0.051606,0.056463,0.068481,0.046654,0.038563,0.028224,0.026435,0.02344,0.022843
