Latitude,Longitude,Depth,rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865
16.000315,73.411964,XX,0.061877,0.06,0.051818,0.033882,0.03119,0.027674,0.026541,0.024217,0.023156
15.896708,73.472176,XX,0.0598,0.059513,0.05206,0.034555,0.029849,0.028334,0.027075,0.023884,0.023783
16.000322,73.412804,XX,0.062007,0.057805,0.052786,0.035116,0.030967,0.029323,0.026968,0.02344,0.023156
15.903322,73.487068,XX,0.05993,0.059269,0.054116,0.033882,0.029737,0.027564,0.025901,0.022996,0.023574
16.004204,73.436974,XX,0.059021,0.055853,0.052181,0.035003,0.031302,0.029432,0.028035,0.024772,0.0242
16.00345,73.482948,XX,0.057202,0.056341,0.052665,0.037133,0.033984,0.033167,0.033261,0.029654,0.029419
15.955679,73.489754,XX,0.059151,0.058781,0.058346,0.036797,0.031637,0.030421,0.029955,0.025326,0.026184
15.974357,73.484848,XX,0.057461,0.056463,0.058104,0.036349,0.031749,0.030531,0.029635,0.02688,0.025349
16.005486,73.43911,XX,0.057591,0.055975,0.049278,0.034779,0.030296,0.028224,0.026328,0.024772,0.02514
15.930508,73.433151,XX,0.062655,0.062316,0.056533,0.036124,0.031861,0.028883,0.027502,0.024328,0.023887
16.007278,73.462082,XX,0.055251,0.052189,0.048551,0.031864,0.030184,0.028334,0.026968,0.023995,0.023156
16.025322,73.419991,XX,0.060319,0.058415,0.051577,0.034555,0.029737,0.027894,0.026328,0.024217,0.02253
15.8987,73.409866,XX,0.062915,0.06329,0.053995,0.0359,0.031414,0.028443,0.027608,0.025326,0.023887
16.005716,73.433411,XX,0.060709,0.057927,0.056896,0.036573,0.032308,0.028663,0.027715,0.024772,0.023156
15.960958,73.481964,XX,0.05941,0.059147,0.055567,0.03534,0.031414,0.029103,0.026862,0.024994,0.024409
16.008146,73.431992,XX,0.060579,0.061829,0.056654,0.036909,0.031861,0.029762,0.027715,0.023995,0.02514
16.018515,73.440788,XX,0.056421,0.053411,0.050972,0.03377,0.031525,0.029323,0.027288,0.023995,0.023261
16.023499,73.467659,XX,0.056551,0.054876,0.051939,0.036685,0.032308,0.030751,0.030169,0.026991,0.025975
15.9418,73.43232,XX,0.062655,0.061707,0.054962,0.036685,0.031637,0.029982,0.028675,0.024883,0.024096
16.016371,73.444443,XX,0.056031,0.053289,0.050004,0.033209,0.030743,0.029323,0.026648,0.024994,0.024722
15.930636,73.4636,XX,0.061358,0.06,0.058104,0.037582,0.032643,0.030421,0.027928,0.024217,0.023887
15.99006,73.455956,XX,0.057332,0.055609,0.051214,0.0359,0.031525,0.029652,0.027928,0.024772,0.023574
16.023211,73.41552,XX,0.060449,0.056951,0.05073,0.033546,0.031302,0.028004,0.027395,0.023773,0.023992
15.953971,73.478279,XX,0.060579,0.060366,0.057863,0.036237,0.031861,0.029103,0.027502,0.025105,0.022426
15.955502,73.477333,XX,0.06019,0.059391,0.057258,0.036237,0.031861,0.028993,0.026968,0.024439,0.024305
15.981848,73.457886,XX,0.060839,0.060366,0.057621,0.037133,0.032196,0.028773,0.028462,0.025105,0.023783
16.023212,73.478317,XX,0.057332,0.056585,0.053028,0.036349,0.03376,0.033717,0.033261,0.029654,0.030149
